GEOID,NAME,tot_popE,med_incE,giniE,pop_u18E,pop_bpE,bp_u18E,year,bp_per,cbp_per,type
48113002200,"Census Tract 22, Dallas County, Texas",2226,49632,0.4601,168,412,43,2012,0.185085354896676,0.255952380952381,Tract
48113002400,"Census Tract 24, Dallas County, Texas",3381,27242,0.4568,900,1358,484,2012,0.401656314699793,0.537777777777778,Tract
48113002500,"Census Tract 25, Dallas County, Texas",5059,28457,0.418,1494,1266,508,2012,0.250247084404032,0.340026773761714,Tract
48113002701,"Census Tract 27.01, Dallas County, Texas",2578,11572,0.4701,700,1603,532,2012,0.621799844840962,0.76,Tract
48113002702,"Census Tract 27.02, Dallas County, Texas",1365,16520,0.4343,242,540,125,2012,0.395604395604396,0.516528925619835,Tract
48113003101,"Census Tract 31.01, Dallas County, Texas",2736,61946,0.3215,59,164,21,2012,0.0599415204678363,0.355932203389831,Tract
48113003400,"Census Tract 34, Dallas County, Texas",1298,21625,0.4791,145,621,139,2012,0.478428351309707,0.958620689655172,Tract
48113003700,"Census Tract 37, Dallas County, Texas",3360,22115,0.443,612,1038,225,2012,0.308928571428571,0.367647058823529,Tract
48113003800,"Census Tract 38, Dallas County, Texas",1949,21335,0.419,449,711,226,2012,0.364802462801437,0.503340757238307,Tract
48113003901,"Census Tract 39.01, Dallas County, Texas",1687,18958,0.7687,517,619,266,2012,0.366923532898637,0.514506769825919,Tract
48113003902,"Census Tract 39.02, Dallas County, Texas",1819,28972,0.4057,409,604,185,2012,0.332050577240242,0.452322738386308,Tract
48113004000,"Census Tract 40, Dallas County, Texas",1081,26188,0.4221,119,344,79,2012,0.318223866790009,0.663865546218487,Tract
48113004100,"Census Tract 41, Dallas County, Texas",1166,13797,0.5348,481,681,360,2012,0.584048027444254,0.748440748440749,Tract
48113004201,"Census Tract 42.01, Dallas County, Texas",4085,43934,0.6017,1167,941,398,2012,0.230354957160343,0.341045415595544,Tract
48113004202,"Census Tract 42.02, Dallas County, Texas",2198,55268,0.5127,541,510,185,2012,0.232029117379436,0.341959334565619,Tract
48113004300,"Census Tract 43, Dallas County, Texas",2167,30109,0.376,623,743,238,2012,0.342870327641901,0.382022471910112,Tract
